address.outcode,year_sale,sample_listed_sold,min_listed_sold_percentage,lower_quartile_listed_sold_percentage,median_listed_sold_percentage,mean_listed_sold_percentage,upper_quartile_listed_sold_percentage,max_listed_sold_percentage
FK,2017,2249,-84,0,1.875,2.105142432,4.545454545,72.69544924
FK,2018,3020,-54.92487479,0.005699559,2.739726027,3.161852885,5.6,88.2077597
FK,2019,3076,-70,0.707818559,3.174603175,3.74803206,6.25166026,39.8
FK,2020,2585,-83.92857143,1.449275362,4.006933796,4.699063446,7.428571429,90.04751188
FK,2021,3145,-87.82467532,3.361344538,7.058823529,7.852550914,11.77128066,57.44680851
FK,2022,2193,-80,5.504587156,10.00611145,10.73708576,15.05617978,88
FK,2023,50,-10.34482759,1.839368259,4.166666667,5.650719416,7.580824972,21.97247706
G,2010,244,-53.307393,0,5.901349958,6.078739286,11.84210526,71.79487179
G,2011,1177,-98.13333333,-1.886792453,2.016326531,2.664644642,7.246376812,67.54334697
G,2012,4258,-91.78571429,-2.71542463,0,0.825772384,4.761904762,97.71851235
G,2013,5120,-95.8974359,-2.527018614,0.003475024,0.91722153,4.733382965,87.49375
G,2014,6075,-93.45454545,0,2.472527473,3.149918254,6.846973918,93.33333333
G,2015,5544,-91.13924051,0,3.03030303,3.581469534,7.142857143,92.72727273
G,2016,5432,-75,0.011112346,4,4.511709828,7.837436824,89.01306608
G,2017,5973,-89.23303835,1.694915254,5,5.576005619,8.786610879,93.72489541
G,2018,7876,-53.57142857,2.512037173,5.714285714,6.651274382,10,90.16666667
G,2019,8753,-89.72222222,2.355951646,5.704697987,6.566907968,10,86.20689655
G,2020,6974,-80.625,3.244932432,6.666666667,7.718946229,11.26494262,94.28571429
G,2021,8719,-82.68817204,5.405405405,10.00323539,11.23268978,16.12903226,86.875
G,2022,6654,-62.66125896,7.777777778,13.33333333,14.55114755,20.20158228,91.74571429
G,2023,585,-36,5.263157895,10,11.351429,15.95238095,60
HS,2010,4,-7.594936709,-3.565400844,1.830065359,3.460742947,8.85620915,17.77777778
HS,2011,15,-67.68,-9.399850238,0,-4.564596996,4.15822389,29.84
